"","lU","X.Average.Longitude","Average.Latitude","uEl","uin01","uin13","uin325","uinChF","uinMF","mu1","mu2","pH_m","pH_SD","eH","Conductivity..ms.cm.","u_sal"
"131",0.76469628963514,-110.09029,35.37383,1741.5,0,1,0,0,0,0,0,6.9,0.14142135623731,NA,NA,2000
"132",-0.138437574789441,-110.141155,35.40161,1818.9,0,1,0,0,0,0,1,6.8,NA,NA,NA,2000
"127",1.97469214725121,-109.8944875,35.350935,1727.5,0,1,0,1,0,0,0,7.5325,1.30928415555982,NA,4.54,2000
"128",1.08104738396129,-110.00538,35.324475,1712.6,0,1,0,1,0,0,0,6.895,0.731277421138289,NA,650.6,2000
"129",1.38094367418252,-110.016474,35.325986,1692.6,0,1,0,1,0,0,0,7.782,1.02548525099096,NA,1677,2000
"142",-0.552156706605696,-109.88857,35.77573,1958.6,1,0,0,0,0,0,0,NA,NA,NA,NA,500
"137",0.644082235182763,-110.133145,35.78137,1953.3,1,0,0,0,0,0,0,6,0,NA,NA,500
"138",-0.372457730202065,-110.130365,35.7966,1989.4,1,0,0,0,0,0,0,6.2,NA,NA,NA,500
"145",0.366517818403013,-110.36246,36.77191,1815.4,1,0,0,0,0,0,0,6.2,NA,NA,NA,500
"148",-1.32790214206428,-110.4794,36.64378,1984.8,0,1,0,0,0,0,0,6.5,NA,NA,NA,2000
"149",-1.32790214206428,-110.47151,36.64064,1938.8,0,1,0,0,0,0,0,6.5,NA,NA,NA,2000
"150",0.291027078225269,-110.46989,36.6402,1926.5,0,1,0,0,0,0,0,6.2,NA,NA,NA,2000
"151",-0.0132461430326617,-110.46309,36.62396,1907.6,0,0,0,0,0,0,0,6.2,NA,NA,NA,0
"147",0.55471441919489,-110.07796,36.7855,1634.8,1,0,0,0,0,0,0,7.23,1.45663996924429,NA,406.8,500
"153",1.27572981778125,-110.4007,36.676085,1841.5,0,1,0,0,0,0,0,6.4,NA,NA,NA,2000
"156",2.12123688699733,-111.331275,36.850355,1537.9,0,0,0,0,0,0,0,6,NA,NA,NA,0
"154",-0.328417708544464,-111.360285,36.884815,1409,0,0,0,0,0,0,0,6.4,0.565685424949238,NA,NA,0
"155",-0.249171072208076,-111.183665,36.615225,1707.5,0,0,0,0,0,0,0,6.15,0.212132034355964,NA,NA,0
"160",1.38727893875538,-111.18777,35.55564,1445,0,1,0,1,0,0,0,NA,NA,NA,NA,2000
"161",0.229372357700671,-111.1558,35.55462,1462,0,0,0,0,0,0,0,NA,NA,NA,NA,0
"162",0.613750081258928,-111.00768,35.32898,1430,0,1,0,0,0,0,0,7.5,NA,NA,NA,2000
"163",0.533893625797535,-110.99446,35.30301,1430,0,1,0,0,0,0,0,6.75,NA,NA,NA,2000
"164",0.549322993602021,-110.95958,35.24194,1457,0,1,0,0,0,0,0,7.75,NA,NA,NA,2000
"165",0.603258766396367,-110.97182,35.24472,1453.9,0,1,0,0,0,0,0,7,NA,NA,NA,2000
"166",0.661066579360438,-111.10149,35.30123,1520.1,0,1,0,0,0,0,0,7,NA,NA,NA,2000
"167",0.585707955374392,-111.15396,35.2935,1591.3,0,1,0,0,0,0,0,7,NA,NA,NA,2000
"168",0.715603900731224,-111.21884,35.3125,1677,0,1,0,0,0,0,0,7,NA,NA,NA,2000
"169",0.678302721100434,-111.22536,35.35483,1565.2,0,1,0,0,0,0,0,7,NA,NA,NA,2000
"159",0.425946085954646,-111.111955,35.431625,1471.6,0,1,0,1,0,0,0,6,NA,NA,NA,2000
"170",0.542080924216448,-109.16956,36.4526,2298.7,0,0,0,0,0,0,0,7,NA,NA,NA,0
"171",-0.544029349007373,-109.2442,36.41175,1962.5,1,0,0,1,0,0,0,7.5,NA,NA,NA,500
"173",-0.491943552047894,-109.32858,36.355,2027.2,1,0,0,1,0,0,0,7.5,NA,NA,NA,500
"176",-0.427563409326869,-109.40118,36.37257,1916.5,1,0,0,1,0,0,0,8,NA,NA,NA,500
"177",0.018439572274337,-109.42817,36.3503,1881.2,1,0,0,1,0,0,0,6.5,NA,NA,NA,500
"178",-0.266633333573322,-109.48013,36.35016,1781.6,1,0,0,1,0,0,0,8,NA,NA,NA,500
"179",1.03737962846424,-109.39963,36.94716,1666.3,0,1,0,0,0,0,0,7.5,NA,NA,NA,2000
"190",0.160047006595363,-110.70037,37.145985,1155.9,0,1,0,1,0,0,0,6.6,0.565685424949238,NA,NA,2000
"192",0.0177341715758012,-110.618215,37.118745,1760.2,0,1,0,0,0,0,0,6,NA,NA,NA,2000
"186",-0.273074394916031,-110.791373333333,36.9440733333333,1840.5,0,1,0,0,0,0,0,6.83333333333333,0.288675134594813,2,NA,2000
"189",-0.295933831628786,-110.832696666667,36.97917,1913.4,0,0,0,0,0,0,0,6.43333333333333,0.513160143944689,NA,NA,0
"187",-0.0754105646106097,-110.8114,36.9590925,1849.4,0,1,0,0,0,0,0,6.7875,0.887294577165141,NA,635.1,2000
"188",0.0491863767148753,-110.881274,36.980524,1836.7,0,0,0,0,0,0,0,6.554,0.862020881417614,NA,344.2,0
"193",0.000257265648649198,-109.14528,35.461268,2025.5,1,0,0,1,0,0,0,NA,NA,NA,NA,500
"195",1.21814124710157,-110.23061,37.04236,1512.1,1,0,0,0,0,0,0,6,NA,NA,NA,500
"196",1.25430775639028,-110.28693,37.08229,1455.3,1,0,0,0,0,0,0,7,NA,NA,NA,500
"197",0.233348544353302,-110.34734,37.05113,1510.1,1,0,0,0,0,2,5,6,NA,NA,NA,500
"198",0.197204537704399,-110.34299,37.05302,1508.2,1,0,0,0,0,0,5,6,NA,NA,NA,500
"199",1.21849299530282,-110.35516,37.04385,1518.6,1,0,0,1,0,1,3,7,NA,NA,NA,500
"200",-0.202335010261738,-110.10136,37.13289,1737.3,1,0,0,0,0,0,0,6.5,NA,NA,NA,500
"201",1.45582435225809,-110.10136,37.02814,1696.6,1,0,0,0,0,0,0,6,NA,NA,NA,500
"202",0.516092398879913,-110.30355,37.02397,1497.8,1,0,0,0,0,0,0,7.5,NA,NA,NA,500
"205",0.967179661654466,-110.3268,37.02133,1604.7,1,0,0,0,0,0,0,6.5,NA,NA,NA,500
"206",1.30206166033769,-110.3268,37.00529,1498.2,1,0,0,1,0,0,3,7,NA,NA,NA,500
"207",0.475373470700607,-110.21784,37.00499,1635.3,1,0,0,0,0,0,4,6,NA,NA,NA,500
"208",0.861428040983964,-110.33531,36.9261,1559.6,1,0,0,0,0,0,0,8.53,NA,NA,1.324,500
"204",0.248554221885315,-110.30933,37.02261,1493.1,1,0,0,0,0,0,2,7,NA,NA,NA,500
"194",0.443800977008431,-110.208266666667,36.9544266666667,1598.4,1,0,0,0,0,0,0,7.37666666666667,1.69665356903916,NA,630.9,500
"219",-0.463330223398925,-109.01951,36.60652,1812.7,0,0,0,0,0,0,0,7,NA,NA,NA,0
"222",1.13716287531563,-109.00415,36.66375,1775.8,0,0,0,0,0,0,0,7,NA,NA,NA,0
"223",1.14593421415077,-109.37792,36.76709,1708,0,1,0,0,0,0,0,6,NA,203.4,NA,2000
"224",-0.129811529921661,-109.72794,36.41485,1735.4,0,1,0,0,0,0,0,6.2,NA,NA,NA,2000
"225",1.00950735936841,-109.72835,36.414935,1734.8,0,1,0,0,0,0,0,6.855,1.91625937701554,NA,600.1,2000
"226",-0.46674342502171,-109.832075,36.45216,1829.7,0,1,0,0,1,0,0,6.59,1.53442171517481,NA,7.878,2000
"227",-0.435011040013011,-109.40678,36.46182,1759.2,1,0,0,1,0,0,0,7.5,NA,NA,NA,500
"230",-1.32790214206428,-110.6096,36.57079,2038.6,0,0,0,0,0,0,0,5.9,NA,NA,NA,0
"231",-1.32790214206428,-110.70219,36.55259,1909.7,0,0,0,0,0,0,0,6,NA,NA,NA,0
"232",-1.32790214206428,-110.70881,36.48094,1849.6,1,0,0,0,0,0,0,6.1,NA,NA,NA,500
"234",0.0124471099122198,-110.65354,36.49101,1896.1,1,0,0,0,0,0,0,6.3,NA,NA,NA,500
"235",-0.502102035698422,-110.57224,36.53675,1961.6,0,0,0,0,0,0,0,NA,NA,NA,NA,0
"237",-0.309501901127468,-110.60957,36.57086,2038.5,0,0,0,0,0,0,0,6,NA,NA,NA,0
"238",-0.400551555982798,-110.61459,36.82455,2110,0,1,0,0,0,0,0,7,NA,NA,NA,2000
"239",-0.467154153897715,-110.60874,36.86271,2149.1,0,1,0,0,0,0,0,7,NA,NA,NA,2000
"229",-0.118655728470292,-110.614666666667,36.8245666666667,2110,0,1,0,0,0,0,0,6.23333333333333,0.680685928555405,NA,NA,2000
"240",-1.32790214206428,-109.8778,35.7463,1916.8,1,0,0,0,0,0,0,NA,NA,NA,NA,500
"241",1.33452217030138,-109.8905,35.67355,1878.9,1,0,0,0,0,0,0,NA,NA,NA,NA,500
"242",0.466581735844288,-109.94553,35.66584,1988.5,1,0,0,0,0,0,0,6.2,NA,NA,NA,500
"244",0.122803020002295,-109.81761,35.74995,2054,1,0,0,0,0,0,0,6.8,NA,NA,NA,500
"245",1.54734203595955,-109.8018,35.843005,1946,1,0,0,0,1,0,0,NA,NA,NA,NA,500
