type	latitude	longitude	altitude (m)	name	desc	m.data
W	38.422600000	-108.832800000	1576.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.404800000	-108.829400000	1676.5		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.405000000	-108.829900000	1691.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.398900000	-108.834300000	1738.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Betty Jean Group</td></tr></table>	Betty Jean Group
W	38.398000000	-108.836900000	1769.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Farmer Girl</td></tr></table>	Farmer Girl
W	38.397400000	-108.836600000	1787.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Betty Jean Group</td></tr></table>	Betty Jean Group
W	38.396700000	-108.836500000	1786.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Betty Jean Group</td></tr></table>	Betty Jean Group
W	38.391200000	-108.834100000	1830.7		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.390200000	-108.834600000	1843.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.391000000	-108.832300000	1818.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.391400000	-108.832700000	1834.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Badger</td></tr></table>	Badger
W	38.389100000	-108.834400000	1845.4		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Crown Prince</td></tr></table>	Crown Prince
W	38.399100000	-108.828200000	1642.7		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.399100000	-108.842600000	1800.0		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.396800000	-108.844700000	1784.2		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.402600000	-108.882100000	2027.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.401200000	-108.894300000	2102.7		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.402300000	-108.896300000	2108.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.425100000	-108.961400000	2248.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.433400000	-108.954800000	2216.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.427700000	-108.956400000	2228.6		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.436700000	-108.977100000	2240.8		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Yellowbird  M-78-020 ?</td></tr></table>	Yellowbird  M-78-020 ?
W	38.396000000	-108.920300000	1866.3		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Sunrise Group</td></tr></table>	Sunrise Group
W	38.452500000	-108.843600000	1480.7		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Unknown</td></tr></table>	Unknown
W	38.374500000	-108.733300000	1648.1		<table cellspacing="0" cellpadding="2" border="1" style="border-collapse:collapse"><tr><td><b>m.data</b></td><td>Spring Creek Group</td></tr></table>	Spring Creek Group
