"","lU","X.Average.Longitude","Average.Latitude","uEl","uin01","uin13","uin325","uinChF","uinMF","mu1","mu2"
"142",0.861428040983964,-110.33531,36.9261,1559.6,1,0,0,0,0,0,0
"143",0.248554221885315,-110.30933,37.02261,1493.1,1,0,0,0,0,0,2
"144",0.443800977008431,-110.208266666667,36.9544266666667,1598.4,1,0,0,0,0,0,0
"146",-0.463330223398925,-109.01951,36.60652,1812.7,0,0,0,0,0,0,0
"147",1.13716287531563,-109.00415,36.66375,1775.8,0,0,0,0,0,0,0
"148",1.14593421415077,-109.37792,36.76709,1708,0,1,0,0,0,0,0
"149",-0.129811529921661,-109.72794,36.41485,1735.4,0,1,0,0,0,0,0
"150",1.00950735936841,-109.72835,36.414935,1734.8,0,1,0,0,0,0,0
"151",-0.46674342502171,-109.832075,36.45216,1829.7,0,1,0,0,1,0,0
"152",-0.435011040013011,-109.40678,36.46182,1759.2,1,0,0,1,0,0,0
"153",-1.32790214206428,-110.6096,36.57079,2038.6,0,0,0,0,0,0,0
"154",-1.32790214206428,-110.70219,36.55259,1909.7,0,0,0,0,0,0,0
"155",-1.32790214206428,-110.70881,36.48094,1849.6,1,0,0,0,0,0,0
"156",0.0124471099122198,-110.65354,36.49101,1896.1,1,0,0,0,0,0,0
"157",-0.502102035698422,-110.57224,36.53675,1961.6,0,0,0,0,0,0,0
"158",-0.309501901127468,-110.60957,36.57086,2038.5,0,0,0,0,0,0,0
"159",-0.400551555982798,-110.61459,36.82455,2110,0,1,0,0,0,0,0
"160",-0.467154153897715,-110.60874,36.86271,2149.1,0,1,0,0,0,0,0
"162",-0.118655728470292,-110.614666666667,36.8245666666667,2110,0,1,0,0,0,0,0
"163",-1.32790214206428,-109.8778,35.7463,1916.8,1,0,0,0,0,0,0
"164",1.33452217030138,-109.8905,35.67355,1878.9,1,0,0,0,0,0,0
"165",0.466581735844288,-109.94553,35.66584,1988.5,1,0,0,0,0,0,0
"166",0.122803020002295,-109.81761,35.74995,2054,1,0,0,0,0,0,0
"167",1.54734203595955,-109.8018,35.843005,1946,1,0,0,0,1,0,0
"168",-0.0135787208174951,-109.824105,35.792645,2031.5,1,0,0,0,1,0,0
"169",0.694314763975208,-109.72477,35.824605,1891.5,1,0,0,0,0,0,0
"170",1.14965521440674,-109.75958,35.7385266666667,2010.3,1,0,0,0,1,0,0
"171",1.48797066508058,-109.36777,36.84391,1727.1,0,1,0,0,0,0,0
"172",0.902679675431127,-109.39118,36.79372,1661.7,0,1,0,0,0,0,0
"173",0.980664737338589,-109.45024,36.85805,1609.8,0,1,0,0,1,0,1
"174",0.469703460461232,-109.32213,36.94767,1645.5,0,1,0,0,0,0,0
"175",1.24216444051895,-109.31014,36.86407,1785.2,0,1,0,0,1,0,0
"176",-0.148809827491407,-109.95871,36.06058,1969.3,1,0,0,0,1,0,0
"177",-0.347778737834355,-109.97828,36.14011,1955.7,0,0,0,0,1,0,0
"178",0.976581815310836,-109.89234,36.22978,2030.9,0,0,0,0,0,1,4
"179",-0.468551940043573,-109.94626,36.17143,1980.6,0,0,0,0,1,0,0
"180",-0.436542242958644,-110.01521,36.11048,1966.3,1,0,0,0,0,0,0
"181",1.84552242363797,-109.88193,36.21707,2129.3,0,0,0,0,0,1,3
"182",2.32418405225422,-109.89097,36.24472,2110.1,0,0,0,0,0,2,3
"183",2.18139010110645,-109.8315,36.29465,2181.1,0,1,0,0,0,0,1
"184",-0.212545025168948,-109.18102,36.92348,1675.9,0,0,0,0,1,0,0
"185",-0.292735883130642,-108.98124,36.90072,1547.5,0,0,0,0,0,0,0
"186",0.206009913460124,-109.00701,36.89295,1566.8,0,0,0,0,0,0,0
"187",0.484469458315638,-109.03667,36.88016,1690.1,0,0,0,0,0,0,0
"188",-0.478996286334186,-109.084365,36.919399,1594.8,0,0,0,0,1,0,0
"189",0.0713571661288598,-110.37825,35.468075,1838.2,0,1,0,0,0,0,1
"190",-1.32790214206428,-110.40431,35.49574,1764.3,0,1,0,0,0,0,0
"191",0.437900885957887,-110.44502,35.4966,1707.9,0,1,0,0,0,0,0
"192",0.972549743626608,-110.36828,35.45451,1885.5,0,1,0,0,0,1,1
"193",0.970592152383199,-110.372703333333,35.4721766666667,1840.2,0,1,0,0,0,0,1
"194",0.571498612795681,-110.3643225,35.45124,1916.2,0,1,0,0,0,1,1
"195",0.168904559681304,-111.01481,36.27349,1713.1,1,0,0,0,0,0,0
"196",0.281507085679045,-110.98678,36.32453,1744.2,1,0,0,0,0,0,0
"197",-0.243261525838783,-111.00516,36.35877,1790.5,1,0,0,0,0,0,0
"198",-0.00480021265343695,-110.85694,36.44528,1786.5,1,0,0,0,0,0,0
"199",-0.0560632204838776,-110.83167,36.48694,1837.5,0,0,0,0,0,0,0
"200",-0.219218562373967,-109.24344,36.22831,2205.3,1,0,0,1,0,0,0
"201",-0.438022214438126,-109.13434,36.18026,2193.3,1,0,0,1,0,0,0
"202",0.118981191851693,-109.12542,36.28572,2324.7,1,0,0,1,0,0,0
"203",0.336976256056878,-109.34316,36.28871,2070.1,1,0,0,1,0,0,0
"204",1.23450243001721,-109.88853,36.07494,1843.9,1,0,0,0,1,0,0
"205",0.590073448035802,-111.22917,36.11855,1467.9,0,0,0,0,0,0,0
"206",-0.404178870756476,-111.25611,36.12748,1516.6,0,0,0,0,0,0,0
