"","lU","X.Average.Longitude","Average.Latitude","uEl","uin01","uin13","uin325","uinChF","uinMF","mu1","mu2","waters.rad"
"118",-0.273074394916031,-110.791373333333,36.9440733333333,1840.5,0,1,0,0,0,0,0,2.7
"119",-0.295933831628786,-110.832696666667,36.97917,1913.4,0,0,0,0,0,0,0,0.1
"120",-0.0754105646106097,-110.8114,36.9590925,1849.4,0,1,0,0,0,0,0,2.2
"121",0.0491863767148753,-110.881274,36.980524,1836.7,0,0,0,0,0,0,0,1.2
"122",0.000257265648649198,-109.14528,35.461268,2025.5,1,0,0,1,0,0,0,3.73191531404375
"129",1.45582435225809,-110.10136,37.02814,1696.6,1,0,0,0,0,0,0,2.4
"130",0.516092398879913,-110.30355,37.02397,1497.8,1,0,0,0,0,0,0,2.3
"131",0.967179661654466,-110.3268,37.02133,1604.7,1,0,0,0,0,0,0,1.4
"132",1.30206166033769,-110.3268,37.00529,1498.2,1,0,0,1,0,0,3,1.4
"133",0.475373470700607,-110.21784,37.00499,1635.3,1,0,0,0,0,0,4,2.6
"134",0.861428040983964,-110.33531,36.9261,1559.6,1,0,0,0,0,0,0,1.5
"135",0.248554221885315,-110.30933,37.02261,1493.1,1,0,0,0,0,0,2,0.5
"136",0.443800977008431,-110.208266666667,36.9544266666667,1598.4,1,0,0,0,0,0,0,3.1
"137",-0.463330223398925,-109.01951,36.60652,1812.7,0,0,0,0,0,0,0,3.10030040964952
"138",1.13716287531563,-109.00415,36.66375,1775.8,0,0,0,0,0,0,0,1.8
"139",1.14593421415077,-109.37792,36.76709,1708,0,1,0,0,0,0,0,1.21694830334775
"140",-0.129811529921661,-109.72794,36.41485,1735.4,0,1,0,0,0,0,0,1.2
"141",1.00950735936841,-109.72835,36.414935,1734.8,0,1,0,0,0,0,0,0.99202212895841
"142",-0.46674342502171,-109.832075,36.45216,1829.7,0,1,0,0,1,0,0,2.27466207160636
"143",-0.435011040013011,-109.40678,36.46182,1759.2,1,0,0,1,0,0,0,3.72373772385908
"144",-1.32790214206428,-110.6096,36.57079,2038.6,0,0,0,0,0,0,0,1.00106741573035
"145",-1.32790214206428,-110.70219,36.55259,1909.7,0,0,0,0,0,0,0,1.75935300794552
"146",-1.32790214206428,-110.70881,36.48094,1849.6,1,0,0,0,0,0,0,0
"147",0.0124471099122198,-110.65354,36.49101,1896.1,1,0,0,0,0,0,0,2.08276300578029
"148",-0.502102035698422,-110.57224,36.53675,1961.6,0,0,0,0,0,0,0,0.858625954198488
"149",-0.309501901127468,-110.60957,36.57086,2038.5,0,0,0,0,0,0,0,1.00146067415732
"150",-0.400551555982798,-110.61459,36.82455,2110,0,1,0,0,0,0,0,2.33149350649354
"151",-0.467154153897715,-110.60874,36.86271,2149.1,0,1,0,0,0,0,0,2.2
"152",-0.118655728470292,-110.614666666667,36.8245666666667,2110,0,1,0,0,0,0,0,2.6
"153",-1.32790214206428,-109.8778,35.7463,1916.8,1,0,0,0,0,0,0,2.72191641182467
"154",1.33452217030138,-109.8905,35.67355,1878.9,1,0,0,0,0,0,0,3.1167748091603
"155",0.466581735844288,-109.94553,35.66584,1988.5,1,0,0,0,0,0,0,3.42779034798797
"156",0.122803020002295,-109.81761,35.74995,2054,1,0,0,0,0,0,0,2.44668002289643
"157",1.54734203595955,-109.8018,35.843005,1946,1,0,0,0,1,0,0,2.66679198473283
"158",-0.0135787208174951,-109.824105,35.792645,2031.5,1,0,0,0,1,0,0,1.36263249727372
"159",0.694314763975208,-109.72477,35.824605,1891.5,1,0,0,0,0,0,0,1.80686684969114
"160",1.14965521440674,-109.75958,35.7385266666667,2010.3,1,0,0,0,1,0,0,2.21644939965704
"161",1.48797066508058,-109.36777,36.84391,1727.1,0,1,0,0,0,0,0,1.84697030268418
"162",0.902679675431127,-109.39118,36.79372,1661.7,0,1,0,0,0,0,0,2.0098035632709
"163",0.980664737338589,-109.45024,36.85805,1609.8,0,1,0,0,1,0,1,2.03808172531215
"164",0.469703460461232,-109.32213,36.94767,1645.5,0,1,0,0,0,0,0,1.7
"165",1.24216444051895,-109.31014,36.86407,1785.2,0,1,0,0,1,0,0,1.7
"166",-0.148809827491407,-109.95871,36.06058,1969.3,1,0,0,0,1,0,0,2.39844660194172
"167",-0.347778737834355,-109.97828,36.14011,1955.7,0,0,0,0,1,0,0,3
"168",0.976581815310836,-109.89234,36.22978,2030.9,0,0,0,0,0,1,4,1.81986834573554
