"","latitude","longitude","altitude..m.","mine.rad"
"3552",36.4167,-109.9173,1980,3.26171126527919
"3553",36.5081,-109.2709,2239.8,2.51882733675995
"3554",36.3111,-109.9701,2230.3,3.83616858237551
"3556",35.7889,-109.3532,2140.4,2.5058172801831
"3557",36.4133,-109.9015,1922.8,3.76367384333486
"3558",36.4644,-109.9115,1829.3,3.8
"3559",36.2531,-109.979,2217.3,3.82441573247197
"3560",36.8739,-109.0787,1821.9,3.06302201974185
"3565",36.1358,-109.5062,1828.1,2.12102959566486
"3566",36.1547,-109.5715,1674.3,1.20595988538681
"3567",36.1806,-109.574,1667.7,3
"3568",36.0797,-109.3093,1864.8,2.74808136846972
"3569",35.9597,-109.369,2294.5,2.47801147227535
"3570",35.9864,-109.3468,2301.5,4.50347313237222
"3571",35.875,-109.4437,2077.2,2.10732033639144
"3572",35.875,-109.4826,1906.5,2.11839541547278
"3573",35.9983,-109.2998,2303,2.20531177829101
"3574",36.5058,-109.2929,1890.3,3.17321937321937
"3575",36.6669,-109.3295,1932.9,1.8551194539249
"3576",36.6742,-109.3479,1934.8,1.96327383213065
"3577",36.6903,-109.3284,1873.9,1.98752556237219
"3578",36.7156,-109.2837,1967.4,2.4
"3579",36.7247,-109.414,1903.7,2.15239179954444
"3580",36.7314,-109.3101,1866.5,1.7
"3581",36.9167,-109.3423,1707.9,1.8
"3582",36.95,-109.4354,1631.9,2.22545045045043
"3583",36.9378,-109.8248,1735,0.883413139245335
"3584",36.7922,-109.1593,2780.5,2.40869565217399
"3585",36.9258,-109.916,1543.8,1.7
"3586",36.9022,-109.8929,1630.1,3.3
"3587",36.9153,-109.8409,1690.5,3.7
"3588",36.5731,-109.2662,2079.7,1.12626492325185
"3589",36.5892,-109.2737,2168.1,2.28996006845409
"3590",35.8353,-111.4563,1391.1,1.50460776846917
"3591",35.8792,-111.4257,1302.6,4.75574912891979
"3592",35.8647,-111.3757,1261.8,7.21919660100425
"3593",35.7172,-111.3649,1351.8,3.9569868995633
"3594",35.8611,-111.3701,1265.5,0.944680851063861
"3595",35.925,-111.4174,1281.7,3.7176334106728
"3596",35.8139,-111.3707,1302.1,2.4098836374084
"3597",35.6444,-111.296,1335.8,1.26996760758908
"3598",35.6444,-111.2871,1323.2,3.4
"3599",35.9094,-111.3285,1415.2,3.87344173441734
"3600",36.8533,-111.3107,1577.8,2.7
"3601",35.6589,-111.3013,1367.8,3.01550387596898
"3602",35.6375,-111.2771,1311.3,1.33511705685619
"3603",36.8694,-111.6202,1114.2,0.725000000000018
"3604",35.6536,-111.2776,1329.7,2.83009354323523
"3605",36.6814,-111.7704,1394.3,3.24070091596974
"3606",36.0172,-111.9768,1544.1,3.16765722183831
"3607",35.7222,-111.3288,1301.7,4.72127226463104
"3608",35.7736,-111.0376,1658.5,2.69452133794694
"3609",35.8397,-111.3507,1268.2,0.6
"3610",35.7633,-111.3251,1279.5,6.26636466591156
"3611",35.72,-111.3054,1287.1,4.25636279500231
"3612",35.8069,-111.3632,1292.5,2.60127766370067
"3613",35.7811,-111.3576,1341.4,5.19292987236486
"3614",35.8989,-111.4215,1303.4,2.83451546391752
"3615",35.8472,-111.3868,1294.8,2.10669911251074
"3616",35.9042,-111.4021,1279.6,1.88402777777778
"3617",35.8172,-111.3132,1286,4.73012113055182
"3618",35.9236,-111.304,1360.8,0.928858541612985
"3619",35.7175,-111.2879,1293.9,5.19716939407342
"3620",36.75,-111.7507,1256.6,0.950958286358526
"3621",35.9392,-111.3965,1294.2,5.12348830142811
"3622",35.6528,-111.3021,1337.8,8.29082098061562
"3623",35.85,-111.3576,1269.8,5.50912089488027
"3624",35.9097,-111.4021,1279.3,1.88657407407408
"3625",36.913,-111.6304,1052.7,1.95926966292148
"3626",35.9542,-111.4138,1312.4,6.34172261653558
"3627",35.8519,-111.4026,1317.7,3.29837962962961
"3628",35.7169,-111.3551,1357.5,5.41151736745889
"3629",35.3981,-111.5452,2254.9,2.53440366972478
"3630",36.7819,-111.7035,1183.2,3.15659574468085
"3631",36.8667,-111.6518,1612.1,1.2
"3632",35.8403,-111.3493,1269.8,5.35538181818182
"3633",35.8819,-111.384,1274.7,5.92734646581699
"3634",35.8794,-111.3951,1281.5,3.46571428571422
"3635",35.9333,-111.441,1369.3,2.91989604389261
"3637",35.7972,-111.4174,1355.7,1.93851508120645
"3638",35.7344,-111.2963,1289.6,3.77725215029425
"3639",35.7403,-111.3007,1296.3,2.63430616740088
"3640",35.6522,-111.2788,1329.4,2.41459434612733
"3641",36.8953,-111.6166,997.7,2.8
"3642",36.9075,-111.6271,1033.3,2.4
"3643",35.6522,-111.3499,1365.7,2.89536423841061
"3644",35.7392,-111.2968,1287.7,2.6735753676471
"3645",36.8042,-111.7243,1486.7,1.10759493670885
"3646",36.8819,-111.5938,1267,0.466221706326192
"3647",36.7903,-111.7118,1239.6,1.20418702023727
"3648",36.7361,-111.7841,1488.7,1.2
"3649",36.1492,-111.1368,1578,0.619894982497059
"3650",35.75,-111.4035,1352.5,2.58847222222221
"3651",35.7931,-111.4576,1379.6,1.53661726242372
"3652",36.9514,-111.396,1151.8,3.1
"3653",35.9936,-111.3771,1371,4.04491854150504
"3654",36.868,-111.5965,973.9,2.9
"3655",36.6847,-111.8771,1494.7,0.488708220415525
"3656",35.7242,-111.3065,1300.4,3.30512820512822
"3657",35.8903,-111.3663,1293.3,5.40473684210529
"3658",35.8697,-111.3771,1264.5,4.65947976878612
"3737",36.95,-110.234,1667.3,1.4
"3738",36.8889,-110.4174,1961.3,1.3
"3740",35.4028,-110.0562,1921.6,0.1
"3741",36.7422,-110.0582,1642.3,2.38820445609438
"3742",36.9028,-110.291,1595.4,2.74568372803666
"3743",36.8625,-110.0757,1832.6,3.1
"3746",36.9944,-110.4396,1593.8,1.2
"3748",36.9917,-110.291,1635.5,1.7
"3749",36.9917,-110.2076,1724.4,1.3
"3751",35.4736,-110.0668,1784.2,2.52147978642258
"3752",36.8944,-110.0423,1925,0.713495575221121
"3753",35.8167,-110.209,1871.6,1.77444880292168
"3756",36.9639,-110.1118,1981.4,3.3
"3757",36.9514,-110.2321,1701.3,1.03363844393592
"3758",36.9603,-110.2729,1598.5,1.6
"3759",35.5417,-110.9229,1490.9,3.91339850488786
"3760",35.507,-110.0862,1840.7,5.36004609260423
"3761",36.9028,-110.2507,1598.3,0.6
"3762",35.0897,-110.6882,1469.9,3.78920293951382
"3763",35.0189,-110.6007,1498,1.7
"3765",35.0192,-110.1904,1606,3
"3766",36.9611,-110.3104,1542,1.9
"3767",35.3511,-110.1326,1825.9,2.08211416490491
"3768",36.9472,-110.2924,1555,2.1
"3769",36.9625,-110.4368,1653.8,3.4
"3773",36.9625,-110.3632,1625.1,2.08317647058822
"3774",36.9486,-110.2554,1611.1,2.3
"3775",36.875,-110.2715,1607.1,2.53435863874345
"3776",35.5072,-109.9187,1788.9,NA
"3777",35.0767,-110.6979,1473.5,2.2
"3780",36.9625,-110.2187,1589.3,1.3
"3781",35.0189,-109.8887,1620.1,0.3
"3782",35.1195,-110.509,1622.2,4.90045610034205
"3783",35.5111,-110.0479,1812.2,2.08683171869393
"3801",35.1967,-108.1503,2451.9,0.67956600361663
"3859",35.6222,-108.5951,2257.7,1.83974385891245
"3867",35.5228,-108.139,2209.4,0.257337742868958
"3872",35.55,-108.6923,2105,2.12879447146149
"3874",35.6764,-108.1501,2132.7,2.41062355658199
"3878",35.4295,-108.0398,2148,2.21217257318952
"3879",35.3406,-108.0565,2178.5,1.8
"3880",35.4261,-108.0542,2112.1,1.67473536538707
"3881",35.4472,-108.1834,2265.7,0.902970297029689
"3882",35.4364,-108.1773,2299.6,3.20166328208104
"3883",35.4403,-108.1959,2256.7,1.7842105263159
"3884",35.4459,-108.1934,2277.5,1.71260669730795
"3885",35.437,-108.1981,2242.7,1.47269
"3886",35.4259,-108.0081,2133.8,3.89734687192925
"3887",35.4311,-108.0287,2131,2.02486930545186
"3888",35.4056,-108.6479,2221.3,1.8
"3891",35.5539,-108.7176,2077.2,6.67765600141418
"3897",35.4167,-108.0009,2216.9,2.48291605301914
"3898",35.4167,-108.0009,2216.9,2.48291605301914
"3904",35.4167,-108.0009,2216.9,2.48291605301914
"3914",35.6284,-108.5526,2095.4,3.37064099759352
"3917",35.4281,-108.0431,2093.6,1.2
"3919",35.5911,-108.7098,2235.1,4.67164179104468
"3921",35.6775,-108.5273,2219.6,3.02010994044893
"3923",35.4859,-108.0256,2155.7,3.20455685618728
"3936",35.487,-108.6445,2104.2,1.9
"3940",35.487,-108.6445,2104.2,1.9
"3944",35.4906,-108.0167,2145.8,2.25094596897903
"3945",35.7395,-108.8443,1999.7,2.44470911589556
"3948",35.8347,-108.0659,1929.9,1.02630558428128
"3950",35.5736,-108.5212,2239.7,1.29584810126583
"3951",35.4156,-108.3301,2230.6,2.11178954205911
"3955",35.6595,-108.5251,2177,1.35922208281054
"3956",35.5592,-108.5204,2319.4,1.35034802784221
"3958",35.5592,-108.5204,2319.4,1.35034802784221
"3959",35.5597,-108.5381,2313.9,2
"3960",35.5559,-108.5262,2350.4,1.33279282245453
"3961",35.472,-108.0087,2170.4,3.88859749144814
"3962",35.6289,-108.5348,2109.1,2.61967498549042
"3965",35.5361,-108.1606,2244,0.6
"3966",35.5289,-108.1626,2244.1,1.89100773091008
"3968",35.6225,-108.6134,2120.5,5.29347408829173
"3969",35.6156,-108.5451,2066,2.79781970649895
"3970",35.6228,-108.5429,2080.3,1.66102878138396
"3971",35.617,-108.5606,2062,1.44166026133743
"3972",35.6145,-108.5784,2062.7,2.63811056418023
"3973",35.6209,-108.5781,2081.1,2.3
"3975",35.6025,-108.5567,2075,2.88042126379137
"3977",35.4267,-108.0148,2114,3.49121188829107
"3978",35.5167,-108.2203,2323.7,0.988006134969325
"3979",35.5206,-108.2262,2283.3,2.97146171693737
"3980",35.6025,-108.519,2195,2.56961618018845
"3982",35.5203,-108.0717,2165.4,5.27826747720364
"3983",35.6061,-108.5873,2055.8,0.602298850574703
"3984",35.502,-108.1667,2273.3,1.8
"3986",35.4136,-108.0151,2153.5,NA
"3988",35.7497,-108.0478,2002.8,2.43590704647677
"3991",35.5709,-108.6062,2122,2.1662038955657
"3995",35.4622,-108.0915,2259.4,1.93021978021979
"3996",35.4597,-108.094,2267.1,2.6
"3997",35.46,-108.089,2337,2.28862413528055
"4000",35.4123,-108.0156,2177.7,2.01135659436886
"4004",35.6509,-108.5065,2126.9,2.2116504854369
"4009",35.5775,-108.1248,2366.5,1.76220472440944
"4010",35.4575,-108.0962,2250.1,2.4
"4011",35.4439,-108.0223,2219.8,3.07742669362992
"4012",35.4867,-108.6692,2073.2,4.37918215613379
"4018",35.4781,-108.0353,2157.9,2.27705540096128
"4029",35.5561,-108.4995,2306.8,1.67016728624535
